#{"t_start": 1734961243.125679, "env_id": "Walker2d-v4"}
r,l,t
686.42506,162,68.461241
650.843834,171,68.548916
738.463891,177,68.63749
682.437949,167,68.720604
660.926108,178,69.741314
728.109216,178,69.837662
572.283519,138,69.912286
841.646578,192,70.008693
834.47175,201,70.109885
620.852609,153,70.187355
668.345254,153,71.285334
820.324903,207,71.468399
812.576173,189,71.574991
620.41325,156,71.665884
751.187308,174,71.754602
651.280798,154,71.951499
1129.390078,242,72.986457
716.727494,171,73.079076
710.126147,170,73.165589
1046.789013,232,73.283852
1019.565651,236,73.403275
975.001689,215,74.40866
564.971847,136,74.481406
815.758575,191,74.580894
669.60358,162,74.662694
1016.499341,224,74.775808
995.618562,233,75.789129
950.970557,234,75.91488
590.430317,146,75.991289
710.190794,165,76.07506
552.928353,139,76.149266
818.754556,197,76.250552
967.956831,212,77.287124
633.000112,156,77.369641
707.950114,165,77.456248
615.390123,151,77.533085
751.064055,172,77.620458
833.058617,191,77.717653
853.918696,217,78.742333
831.592864,180,78.838094
558.382207,141,78.910901
1041.277232,227,79.031161
974.452446,202,79.312297
1144.7865,258,80.338717
773.515612,174,80.434591
775.201654,181,80.52832
649.573745,161,80.6097
673.707899,165,80.693188
1032.17236,217,80.802971
521.786909,130,81.803021
766.218128,172,81.894236
1058.988998,227,82.01044
697.430444,171,82.097212
561.61569,141,82.169079
616.816833,154,82.246438
709.274478,175,83.25213
593.305149,141,83.328599
941.358053,218,83.441336
840.666896,198,83.541197
806.944448,182,83.63357
1009.328615,223,84.637911
1069.273052,231,84.761635
1063.255672,247,84.889263
1135.121923,244,85.012308
1002.538539,220,85.122682
1155.799838,263,86.157003
1038.354454,238,86.283405
761.983805,173,86.593864
842.451488,192,86.692479
855.141401,196,87.68191
812.121712,200,87.787606
927.081682,213,87.899083
681.919858,159,87.979364
851.210932,193,88.085953
662.055772,153,88.163471
897.829944,208,89.202236
979.879641,211,89.318355
1242.542993,264,89.453855
627.104111,147,89.528536
593.388956,156,89.606638
1325.035808,306,90.69899
858.328534,199,90.804452
736.572264,164,90.8872
1246.615915,270,91.023723
1341.048466,319,92.092405
755.69318,172,92.184232
552.681494,137,92.254514
920.220631,224,92.368794
920.426101,208,92.473747
651.258616,161,93.463977
647.822039,153,93.547234
885.458049,205,93.657667
909.487798,204,93.958492
999.835695,218,94.069556
962.648699,205,94.172757
642.146504,162,95.157666
926.963989,230,95.282177
985.302098,227,95.397161
708.322471,167,95.48224
604.430423,144,95.555015
1380.251027,299,96.642847
1095.812163,231,96.765999
726.424345,180,96.855351
690.705878,167,96.940676
1188.955767,249,97.065311
707.89254,167,98.047511
614.132056,148,98.127269
632.592398,153,98.252802
885.511085,196,98.352721
841.002572,182,98.44405
739.239263,175,98.533133
475.309767,118,99.540764
669.538052,156,99.624688
821.872746,182,99.720066
887.377839,194,99.817187
931.868264,225,99.931493
491.407918,123,99.993712
950.222976,211,101.009143
1385.948996,295,101.556869
623.45304,144,101.630498
1159.264834,255,101.759553
710.261933,166,101.843283
944.619265,222,102.853234
579.554888,137,102.92685
1482.174285,314,103.083626
791.591899,183,103.178345
947.129901,200,104.245771
1059.374682,237,104.373993
1422.872786,307,104.531135
582.209408,138,104.601388
988.332221,221,104.714553
1111.866343,242,105.73113
931.543712,211,105.843735
1245.043869,264,105.977359
928.101796,203,106.080146
873.644868,198,106.184903
887.722051,193,107.205976
1645.911377,345,107.384634
381.43127,101,107.436445
1310.806219,283,107.578802
949.45729,206,108.622172
978.699801,212,108.972026
1010.083583,225,109.113341
1070.142379,236,109.233921
1155.323026,245,109.361556
777.258568,175,110.368087
1204.532723,253,110.501946
1399.256132,289,110.647132
660.271303,158,110.729322
1487.239574,311,111.805613
1218.313882,238,111.932406
1219.242349,257,112.062909
1419.041085,288,112.207535
1284.00658,266,113.240535
1063.933603,217,113.363736
1438.498079,310,113.521348
1326.484009,281,113.663304
681.427186,160,114.636437
797.477815,176,114.730901
948.414855,219,114.845033
598.451182,143,114.917444
943.88004,199,115.017251
772.61855,170,115.997011
994.494044,204,116.269818
700.567085,159,116.350271
1170.052147,245,116.491562
968.18544,210,116.599341
1083.862524,221,117.606055
661.033386,156,117.689352
173.868207,60,117.7211
1022.78604,232,117.872024
1004.196858,240,117.99322
1568.351732,319,119.126446
461.431768,117,119.188953
1103.056908,226,119.318499
1636.513207,332,119.483991
944.617473,236,119.602495
2087.701846,427,120.730207
987.179641,207,120.839021
1187.172778,254,120.968031
783.694758,169,121.053741
1061.533631,222,122.160142
1017.810349,216,122.268955
1628.103853,335,122.435502
2930.436068,612,123.764898
1099.535126,239,123.885842
1062.178565,238,124.005429
1262.396476,255,124.134222
435.877707,110,125.084184
1007.642217,216,125.198902
932.561065,208,125.306162
1413.414718,298,125.456711
1037.864116,245,126.493994
545.335594,134,126.566295
1065.2974,223,126.68308
1894.482543,396,126.915281
1185.356567,247,127.928172
1624.4236,319,128.098379
2943.672046,606,128.411319
487.302682,119,129.415805
1569.52051,319,129.586203
1371.929596,300,129.735971
1178.187436,250,129.860986
1229.432441,263,131.047768
909.526102,200,131.154311
1148.196692,241,131.281381
1031.85439,220,131.392448
1027.496858,224,132.399008
948.057302,195,132.50209
815.09609,180,132.597702
1366.538897,292,132.74538
1491.430326,311,132.901694
177.680772,59,133.834077
2936.717659,583,134.138634
1480.970366,292,134.284941
1053.510268,221,135.298334
863.343768,192,135.402867
1094.247207,237,135.525416
814.090523,189,135.621343
1828.123753,374,136.762403
1687.115888,339,136.944328
1609.041259,334,137.11358
1709.060715,337,138.724469
1057.782436,221,138.844317
1142.683604,244,138.971187
3326.413721,674,140.231659
3551.093602,707,140.596877
698.870054,166,141.639942
3655.838371,706,142.007994
1344.144599,285,142.152161
1293.86677,252,143.177036
1327.923581,282,143.322645
3009.954249,622,144.530846
2062.857204,400,144.740053
1344.583832,272,145.165064
3047.738853,594,146.42479
919.63623,195,146.538181
1511.201117,313,146.697609
1195.739785,277,147.733523
1835.023075,366,147.925176
1311.857059,270,148.060845
1701.692569,324,149.169838
3329.066396,623,149.497457
855.318476,185,149.590818
1525.118986,296,150.627947
1018.737305,205,150.736874
2040.36875,384,150.932684
2521.353943,496,152.090463
1102.132084,221,152.206995
749.835632,171,152.47485
245.445609,76,152.513652
1262.604386,251,152.640463
634.269195,145,153.654459
1561.137139,305,153.819395
1121.492592,240,153.94025
1883.240327,364,154.122637
4139.36886,787,155.466624
3852.550384,754,156.777274
2228.303728,423,156.995234
1343.70234,270,158.037589
2706.997584,540,158.317289
1418.572394,294,158.467113
1184.066039,256,159.552891
2250.189404,441,160.213987
2102.31059,420,161.327676
1364.80274,262,161.466861
2184.027852,411,161.676616
1772.275646,339,161.847832
964.051408,202,162.880183
925.441058,198,162.985216
1384.921649,269,163.12135
2090.342558,423,164.24791
1562.212108,302,164.408809
1120.487125,241,164.530532
1088.021996,227,164.644043
3295.056235,636,165.873388
1228.91355,243,165.9956
780.131898,172,166.082549
1944.337793,393,167.195052
1161.443058,236,167.608626
696.446122,154,167.687421
1418.653018,277,167.826151
606.220361,145,168.805509
2093.653953,418,169.027032
2084.840693,389,169.249696
1706.492549,334,170.310204
655.277575,153,170.391902
1023.848033,205,170.497246
632.759871,145,170.569449
1199.523222,240,170.69079
945.400408,196,171.691669
1386.883944,270,171.834383
1649.559582,324,171.999776
1783.319393,334,172.16874
2787.907422,515,173.328179
1935.592851,365,173.513686
1482.248286,287,174.594219
1298.271877,250,174.979584
1357.448442,258,175.111406
2191.574896,409,175.31978
927.754264,203,176.333282
3941.662809,733,176.724316
522.076645,124,177.680502
1177.398884,231,177.803303
1504.697201,290,177.951848
1227.678163,245,178.076518
995.503756,200,178.176783
3052.013335,567,179.404945
1478.989712,293,179.553741
1183.981291,267,180.579994
1585.59422,317,180.748778
1490.982702,273,180.887828
1714.17431,320,181.04981
1559.487501,292,182.325643
1546.13369,292,182.472594
2611.496761,483,182.716963
