#{"t_start": 1734962106.8240829, "env_id": "Walker2d-v4"}
r,l,t
-26.201974,14,10.380447
-28.811405,13,10.388638
-17.710462,10,10.395208
-18.157353,8,10.400404
-20.880373,12,10.408492
-21.088648,15,10.418437
-17.602171,9,10.425233
-21.185773,11,10.433401
-15.718402,10,10.440556
-12.131211,8,10.446461
-30.782801,15,10.456703
-17.01496,8,10.462104
-20.47683,13,10.470465
-23.645166,11,10.477912
-23.085526,12,10.485899
-15.59455,8,10.491175
-20.882214,12,10.498991
-15.14297,9,10.504929
-14.649086,8,10.5102
-15.387072,8,10.515547
-24.573509,12,10.523113
-16.656282,9,10.530188
-31.977766,19,10.544144
-20.070818,12,10.552261
-13.273347,8,10.558496
-15.091341,8,10.563596
-27.195048,13,10.571982
-17.366872,9,10.578168
-21.045423,11,10.585012
-16.191467,9,10.591122
-42.239552,20,10.604979
-17.287552,11,10.612251
-45.235048,21,10.626192
-17.473164,8,10.631594
-17.62976,11,10.639937
-12.986139,10,10.647962
-13.948593,7,10.652721
-18.758131,11,10.659969
-25.984737,12,10.668146
-14.531115,8,10.67352
-17.91679,11,10.681053
-20.255598,10,10.687686
-17.4221,10,10.694288
-15.001362,9,10.700195
-17.117405,13,10.708755
-15.994358,8,10.714074
-13.498655,11,10.721362
-23.650199,13,10.730062
-13.240948,9,10.735715
-18.65558,12,10.744696
-27.791473,14,10.754657
-18.967763,12,10.762992
-15.01698,10,10.769669
-20.593966,11,10.777004
-25.055327,14,10.786177
-14.003927,8,10.791518
-16.300237,11,10.798826
-16.64706,12,10.807085
-14.784319,8,10.813768
-18.657684,14,10.824991
-13.284314,8,10.830436
-57.062835,28,10.850261
-17.928411,10,10.857647
-14.946482,7,10.862833
-24.380297,13,10.871434
-15.986601,11,10.878918
-14.63529,8,10.884166
-14.516618,8,10.889296
-17.739746,11,10.896854
-20.011641,10,10.903779
-17.714655,9,10.909831
-10.9842,12,10.917576
-14.902194,8,10.922888
-13.259178,7,10.927454
-16.737462,9,10.933224
-14.135844,8,10.938667
-16.106864,8,10.944191
-14.34221,9,10.951182
-20.832755,13,10.960538
-13.621513,8,10.966331
-13.427228,8,10.971872
-29.092349,13,10.98069
-25.466146,15,10.990393
-22.342252,11,10.997628
-26.954748,14,11.007064
-31.050419,15,11.016929
-24.403035,13,11.025616
-19.622603,11,11.033067
-20.340873,14,11.041866
-19.9372,11,11.049241
-22.998279,13,11.058691
-16.447676,11,11.067388
-29.057261,16,11.078749
-15.768038,8,11.084047
-19.917179,11,11.091365
-15.625176,9,11.097324
-14.01704,9,11.103662
-15.133705,10,11.110369
-21.214296,11,11.117653
-11.89962,9,11.123692
-14.539117,9,11.129674
-14.880513,8,11.134926
-16.519921,8,11.13997
-12.804047,8,11.145281
-17.508427,10,11.151921
-14.381377,8,11.157458
-14.734327,8,11.163509
-19.813311,9,11.170048
-15.971355,10,11.177125
-12.858091,8,11.182617
-14.784762,8,11.188102
-13.559422,8,11.193851
-23.748841,16,11.204451
-16.36236,9,11.210452
-15.067125,10,11.216847
-17.551679,10,11.223667
-21.547199,10,11.232135
-14.925261,9,11.240149
-23.434061,13,11.251073
-14.835297,11,11.263587
-22.204557,13,11.284211
-14.286715,8,11.290789
-19.351154,15,11.303385
-18.399909,9,11.310652
-22.641856,13,11.321718
-18.8547,8,11.381708
-14.081242,8,11.399439
-15.823993,11,11.408097
-16.802549,8,11.413637
-17.668233,12,11.421707
-14.516568,8,11.426871
-15.081306,8,11.432268
-23.792035,16,11.442996
-19.924878,13,11.451727
-31.202424,18,11.463571
-25.063208,14,11.472758
-23.499257,12,11.480523
-14.93218,8,11.486652
-21.716237,9,11.493725
-30.156178,15,11.503844
-35.169308,20,11.517346
-15.283131,11,11.52462
-27.04142,12,11.532495
-24.699293,13,11.541156
-26.480444,14,11.55031
-19.983863,10,11.55727
-26.715862,12,11.565891
-12.926348,8,11.572671
-43.656308,22,11.589939
-13.864348,10,11.596645
-26.6028,14,11.607548
-25.489706,12,11.616229
-13.072104,8,11.621916
-13.593383,10,11.628978
-15.535938,9,11.634862
-17.875685,9,11.640615
-16.215341,9,11.647184
-13.839857,10,11.653799
-14.665723,9,11.659713
-14.561409,9,11.665769
-20.652794,10,13.340843
-12.650587,9,13.347767
-14.479162,8,13.354196
-14.114038,9,13.360167
-13.171029,8,13.365455
-16.730794,9,13.371563
-17.298131,12,13.38131
-15.802079,9,13.38774
-17.319327,9,13.394071
-15.344633,7,13.399097
-23.154912,10,13.405934
-17.861752,12,13.41365
-12.990936,7,13.418422
-18.666031,9,13.424665
-11.622653,9,13.430674
-21.546652,10,13.437366
-16.272118,8,13.442781
-15.500997,10,13.44934
-15.515052,11,13.456552
-14.119452,9,13.462604
-18.724303,11,13.469993
-18.895578,11,13.477346
-22.583844,12,13.486463
-12.289878,9,13.492841
-16.216231,9,13.49939
-16.679033,9,13.50522
-15.056668,9,13.511276
-27.768912,17,13.522571
-22.185956,16,13.533175
-13.734384,10,13.540051
-18.560898,8,13.545285
-13.963896,9,13.551351
-20.792912,11,13.558793
-22.936001,11,13.566212
-14.742271,11,13.573641
-13.370059,7,13.578348
-14.106121,9,13.585839
-12.018396,8,13.593148
-12.469024,8,13.59916
-15.228277,10,13.606047
-15.867059,8,13.611705
-14.248666,9,13.617769
-15.824917,8,13.623092
-13.30966,7,13.627914
-18.754903,11,13.63519
-18.62503,9,13.641368
-13.135464,10,13.648155
-17.360308,12,13.656247
-11.932167,7,13.660806
-14.725498,10,13.667697
-15.014593,8,13.673081
-18.102613,8,13.678532
-14.847907,12,13.686412
-12.690229,8,13.692627
-16.752875,11,13.70113
-13.390831,7,13.706143
-22.086266,11,13.71373
-12.907407,7,13.718529
-14.916172,8,13.723844
-19.421699,12,13.731945
-15.007977,8,13.737475
-17.569505,9,13.743405
-16.248365,10,13.750273
-17.679791,9,13.756385
-16.412427,8,13.761659
-16.548926,9,13.767546
-16.507354,10,13.77421
-12.101888,6,13.778302
-17.685834,10,13.785139
-13.299262,7,13.789724
-18.931916,10,13.797201
-12.722925,8,13.80232
-20.579247,11,13.810534
-15.207871,12,13.818825
-13.527024,10,13.825652
-16.945068,14,13.847657
-21.775498,14,13.860637
-22.091351,13,13.86941
-17.829184,9,13.875318
-16.103202,10,13.882185
-13.716537,7,13.886744
-17.389004,11,13.894204
-21.98022,16,13.906091
-17.692665,9,13.913201
-15.984125,8,13.918727
-13.267868,9,13.924991
-16.237703,9,13.931011
-27.061423,14,13.940128
-19.688325,11,13.947425
-19.621242,10,13.954174
-12.347477,9,13.960403
-21.947186,12,13.968438
-13.853549,7,13.973113
-13.051009,9,13.979054
-27.362236,15,13.988898
-11.528439,10,13.99579
-14.036896,8,14.001035
-13.068048,8,14.006515
-16.136072,10,14.014319
-12.484492,9,14.021738
-13.803947,10,14.030159
-22.505851,11,14.038135
-16.372614,12,14.046466
-12.807105,7,14.051224
-13.128613,6,14.055243
-13.296692,7,14.059994
-12.862125,7,14.064719
-18.310457,9,14.070765
-15.866469,9,14.076868
-21.217831,11,14.085574
-18.711824,9,14.092449
-17.029611,10,14.099497
-15.965829,10,14.105969
-14.393777,9,14.112128
-17.017666,8,14.11831
-15.754674,8,14.12433
-16.227912,8,14.130313
-16.325923,9,14.136055
-15.728417,12,14.144253
-14.673136,10,14.151147
-13.141794,8,14.156359
-16.490799,12,14.164448
-15.633855,8,14.169722
-14.795304,8,14.175008
-15.86731,7,14.179699
-19.893669,14,14.188947
-16.923864,9,14.195012
-14.55479,7,14.199676
-13.257451,9,14.205664
-15.972366,10,14.212264
-18.453946,13,14.221821
-12.554754,8,14.228159
-15.632053,10,14.234944
-18.094983,10,14.241394
-11.96605,9,14.247574
-24.398782,12,14.255814
-15.951717,9,14.262071
-14.083802,8,14.267378
-17.671024,10,14.274114
-20.651061,11,14.281585
-18.239014,14,14.290859
-14.5687,10,14.297498
-13.846695,8,14.30274
-25.963997,13,14.311339
-16.67799,9,14.317241
-21.89582,10,14.323688
-14.297388,8,14.330024
-15.319811,10,14.337272
-14.820386,7,14.34209
-16.677207,9,14.348578
-28.921034,15,14.361587
-20.593952,12,14.36955
-13.63713,7,14.374406
-13.821717,8,14.379743
-20.492692,12,14.387861
-31.040652,20,14.4008
-30.413503,16,14.411214
-13.84572,8,14.416432
-16.700351,9,14.42227
-13.733183,7,14.426913
-14.845377,9,14.433654
-13.739574,10,14.441083
-17.212206,10,14.4482
-17.092561,9,14.471998
-17.538759,9,14.478568
-13.30069,7,14.483186
-20.31216,16,14.493904
-16.178145,9,14.49987
-11.568709,6,14.503775
-11.944372,9,14.509856
-14.396687,12,14.517681
-16.369626,9,14.523532
-19.067806,12,14.531718
-21.792406,12,14.540418
-13.00891,8,14.546362
-17.263723,8,14.551941
-12.41867,10,14.558855
-21.249511,11,14.566884
-12.431491,9,14.57282
-13.6232,9,14.578711
-14.66353,9,14.584784
-15.435786,10,14.591718
-29.485686,17,14.60302
-15.810465,7,14.608323
-13.780805,7,14.612892
-15.593142,8,14.618218
-15.010283,10,14.641645
-16.778161,9,14.648596
-15.676896,9,14.65502
-14.133984,6,14.659016
-14.749412,10,14.666033
-25.976972,17,14.677961
-14.516652,10,14.684483
-18.761098,11,14.691811
-16.208462,8,14.697436
-15.560959,7,14.702085
-14.013366,9,14.708053
-18.489471,9,14.714155
-13.011423,8,14.719607
-14.799785,8,14.72564
-21.583405,10,14.732579
-17.133257,9,14.738773
-12.976197,9,14.745722
-12.783011,8,14.751132
-15.174597,7,14.785925
-16.126054,8,14.79189
-21.83676,14,14.801602
-17.969804,10,14.80823
-12.127554,8,14.81385
-14.358561,10,14.820484
-14.955707,10,14.827235
-14.138161,9,14.833229
-23.053982,12,16.506076
-14.764212,9,16.512213
-14.311253,8,16.517646
-15.575913,8,16.524123
-11.068883,6,16.528711
-14.133969,9,16.534884
-13.152613,8,16.540597
-12.023665,8,16.546193
-13.835081,9,16.552701
-15.757967,11,16.56062
-15.074067,7,16.566112
-15.803839,8,16.572244
-15.171045,8,16.579019
-13.32022,8,16.584707
-14.520126,7,16.589553
-12.936439,7,16.594344
-16.637927,10,16.601084
-14.789996,9,16.607202
-12.447806,8,16.612554
-13.028425,9,16.618408
-14.48474,8,16.623847
-12.073603,8,16.63006
-17.722434,9,16.637524
-16.040971,9,16.644313
-13.468086,9,16.650373
-13.694415,7,16.655136
-13.791992,9,16.661213
-13.923679,8,16.666566
-19.402032,11,16.674061
-16.88708,9,16.68024
-15.202721,8,16.685896
-15.628802,8,16.691047
-14.321797,10,16.69785
-18.338807,11,16.705319
-14.677536,8,16.710719
-12.679,8,16.71616
-18.108658,10,16.722911
-16.298666,9,16.728962
-17.888078,9,16.735916
-13.060346,10,16.743072
-12.696181,7,16.747973
-15.119872,10,16.754776
-16.222946,9,16.760809
-15.895883,11,16.768213
-12.074029,8,16.773306
-17.521681,10,16.780075
-14.123633,9,16.786309
-13.557497,6,16.790451
-16.094355,8,16.796167
-18.787516,12,16.804189
-19.220299,9,16.81011
-15.152271,11,16.817451
-19.517142,11,16.824561
-13.050922,9,16.830532
-12.854497,9,16.836655
-12.465091,8,16.842908
-16.944008,9,16.84951
-13.247541,8,16.855184
-17.356397,11,16.863087
-13.226569,7,16.868024
-17.439219,7,16.873146
-17.676205,10,16.887992
-13.073193,8,16.897574
-13.920635,8,16.905456
-12.827681,8,16.913559
-16.810254,8,16.919737
-13.894849,8,16.926403
-14.562,6,16.930722
-14.442103,11,16.938279
-19.304153,12,16.947327
-16.523778,9,16.954169
-11.456523,7,16.959149
-20.37386,14,16.969303
-12.55308,8,16.974739
-16.94124,9,16.980869
-21.146021,11,16.988571
-13.313748,8,16.994146
-16.170336,9,16.999908
-16.352221,10,17.00679
-14.272041,7,17.011552
-11.183907,8,17.016788
-13.93918,7,17.02157
-16.56963,9,17.02831
-14.436033,8,17.034556
-14.837862,10,17.041674
-15.999735,9,17.047696
-17.3734,8,17.054533
-12.462422,8,17.062385
-14.844065,7,17.06773
-14.824087,8,17.074387
-13.14286,7,17.079793
-14.156422,9,17.088073
-14.477879,6,17.092702
-12.5664,7,17.098628
-13.40928,8,17.104021
-14.079092,8,17.109461
-15.353075,7,17.114135
-15.048407,8,17.119508
-14.565817,9,17.125665
-12.567582,8,17.130935
-12.033926,9,17.137002
-12.118272,8,17.14265
-18.57406,10,17.149371
-14.159339,8,17.155483
-13.932375,8,17.161572
-12.347668,8,17.167094
-16.054609,10,17.174226
-13.188583,8,17.180003
-15.956722,8,17.185498
-14.845649,11,17.192726
-18.274967,9,17.198768
-13.164775,10,17.20545
-13.983679,9,17.211591
-14.294796,8,17.216856
-13.941344,8,17.222034
-11.703767,6,17.226068
-13.866711,10,17.232772
-14.131833,9,17.239365
-11.388556,7,17.244169
-12.305962,7,17.248913
-10.481505,7,17.253672
-17.177955,10,17.261125
-17.68296,10,17.2685
-21.714539,14,17.278666
-13.947189,8,17.284244
-16.038346,10,17.290984
-12.857301,8,17.296724
-12.652937,9,17.302814
-13.677915,7,17.307154
-20.348031,11,17.314556
-16.753375,11,17.322008
-20.925328,13,17.330525
-13.821047,11,17.337747
-18.710893,10,17.344579
-14.477986,7,17.349237
-14.070376,9,17.355248
-18.391435,10,17.362143
-14.138958,8,17.368194
-23.965473,11,17.376646
-13.066149,7,17.381765
-16.367139,8,17.387203
-18.349406,11,17.394686
-12.882588,7,17.39953
-12.892308,10,17.406405
-14.185735,8,17.411861
-16.184703,8,17.41714
-13.905656,8,17.422678
-15.57899,8,17.428039
-15.346915,10,17.434442
-14.860589,7,17.439203
-18.055197,10,17.445709
-12.802672,8,17.450981
-12.691363,8,17.456316
-15.135958,7,17.461161
-18.102881,11,17.468425
-13.229253,6,17.473299
-12.979143,7,17.478697
-14.94564,9,17.484805
-15.159722,9,17.491077
-15.456395,7,17.495865
-17.177252,9,17.502063
-22.486853,11,17.509468
-11.944132,8,17.514772
-17.939763,11,17.522093
-15.433821,9,17.527935
-11.021651,8,17.533356
-13.684769,6,17.537293
-13.404192,8,17.542622
-12.239505,8,17.547944
-14.64403,9,17.554149
-14.804159,8,17.559638
-19.87115,11,17.567055
-15.782259,7,17.5718
-17.497809,11,17.579885
-14.174714,9,17.586905
-14.656613,7,17.59181
-14.343434,7,17.596754
-15.056445,8,17.60223
-18.600454,11,17.609619
-18.268111,10,17.616374
-19.019152,9,17.621993
-14.072636,7,17.626469
-13.891104,10,17.633279
-14.315942,8,17.638768
-12.158525,8,17.644007
-16.717427,8,17.649694
-14.256788,8,17.654945
-16.724962,10,17.661593
-15.823018,11,17.668581
-13.501354,7,17.673239
-17.280396,7,17.677858
-13.815228,7,17.683267
-13.840736,8,17.689449
-12.79829,8,17.695405
-13.670247,8,17.701052
-12.066252,7,17.705797
-15.745417,9,17.711984
-12.508045,8,17.717171
-12.93788,10,17.723849
-12.019039,8,17.729235
-14.170923,8,17.734684
-13.56597,7,17.739408
-16.307798,7,17.744133
-12.177982,8,17.749554
-16.325312,8,17.754942
-17.758322,12,17.763
-15.961567,8,17.768189
-15.74494,9,17.774164
-17.936192,10,17.780899
-14.808154,8,17.787232
-15.495329,9,17.793511
-12.284691,7,17.799173
-15.013448,8,17.804593
-14.21473,9,17.810666
-16.298664,9,17.816979
-13.057984,11,17.824441
-12.733463,8,17.829736
-15.824389,8,17.835165
-14.711108,8,17.84055
-12.557982,8,17.84605
-13.499628,10,17.852723
-17.354056,9,17.858566
-13.665208,8,17.863873
-16.218921,12,17.871771
-15.852193,9,17.877645
-14.994783,8,17.882825
-13.042578,7,17.887422
-17.074845,11,17.895791
-14.516409,7,17.901146
-14.819251,7,17.906893
-13.749989,7,17.912095
-18.536139,9,17.91829
-12.307883,7,17.92293
-16.390575,9,17.929142
-13.499805,7,17.933644
-12.332297,7,17.93842
-18.164513,11,17.946016
-13.738742,10,19.555849
-15.44826,9,19.562077
-15.874753,9,19.568052
-23.934556,13,19.577756
-14.428797,9,19.584198
-16.997878,11,19.592339
-14.620613,9,19.59884
-13.260052,7,19.603435
-11.417898,7,19.60807
-14.599158,8,19.613612
-13.710668,7,19.618236
-14.903614,9,19.623894
-14.768623,9,19.630662
-14.9869,11,19.638161
-12.721183,8,19.643567
-13.086847,7,19.648232
-13.27597,7,19.65298
-15.490424,9,19.659044
-14.049611,8,19.664424
-12.0156,7,19.669009
-12.536058,8,19.674506
-13.952443,9,19.68225
-11.870188,9,19.689315
-11.829167,7,19.694432
-12.923106,7,19.699159
-13.714491,7,19.703921
-13.29322,7,19.708868
-14.024161,8,19.714357
-12.677098,9,19.720645
-12.265501,8,19.725963
-13.598857,6,19.730138
-13.786003,8,19.735523
-11.689686,6,19.739553
-22.33541,12,19.747552
-10.700322,10,19.754292
-14.332061,8,19.759638
-13.196096,8,19.765004
-12.195394,8,19.770407
-11.912505,9,19.77659
-15.984544,8,19.782103
-14.056356,7,19.78765
-12.467657,7,19.792506
-12.434441,7,19.798436
-13.321875,8,19.803951
-15.316447,10,19.81144
-18.280453,9,19.817568
-14.451666,8,19.822971
-12.852878,7,19.827661
-11.724374,9,19.833424
-12.258453,7,19.838288
-11.087983,7,19.842725
-11.720473,7,19.847489
-15.84222,11,19.854831
-12.634304,6,19.858749
-12.85538,11,19.866201
-13.200041,8,19.871462
-13.86926,8,19.876745
-12.637692,8,19.881902
